title,link,artist
Composition with Washing Line (Circa 1987),https://collections.ed.ac.uk/record/22620?highlight=*:*,Gary Ferguson
Untitled - Portrait of a Nude Female (1972),https://collections.ed.ac.uk/record/99421?highlight=*:*,Lindsay R S Gordon
Unknown (1949),https://collections.ed.ac.uk/record/50580?highlight=*:*,Betty Elston
Composition with Sinking Ship and Lightbulb (1986),https://collections.ed.ac.uk/record/99529?highlight=*:*,David Hosie
Performing Labour in an Industrial Setting II (2020),https://collections.ed.ac.uk/record/113776?highlight=*:*,Aisling Ward
Portrait of a Woman at a Table (1960),https://collections.ed.ac.uk/record/20995?highlight=*:*,Dorothea Brown
Circus (1950),https://collections.ed.ac.uk/record/21027?highlight=*:*,Cecile E M Johnston
Portrait of a Young Man (1951),https://collections.ed.ac.uk/record/21240?highlight=*:*,James P W Syme
Standing Male Nude (1958),https://collections.ed.ac.uk/record/22716?highlight=*:*,Andrew P. W. Conkie
Sitting Nude Woman (Circa 1975),https://collections.ed.ac.uk/record/123342?highlight=*:*,Fiona G. Robertson
Untitled - Abstract Bridge and Ballons (1968),https://collections.ed.ac.uk/record/99474?highlight=*:*,Alastair Burns
Untitled (Unknown),https://collections.ed.ac.uk/record/21991?highlight=*:*,Unknown
Untitled (Unknown),https://collections.ed.ac.uk/record/21987?highlight=*:*,David C Duke
Reclining Female Nude (1960),https://collections.ed.ac.uk/record/20857?highlight=*:*,Kenneth R Wheatley
Portrait of a Young Man (1950),https://collections.ed.ac.uk/record/21056?highlight=*:*,Alexander F Mitchell
Seated Male Nude (1965-1966),https://collections.ed.ac.uk/record/21268?highlight=*:*,H Chart
After the Fall of Snow (1986),https://collections.ed.ac.uk/record/21705?highlight=*:*,Hilary A. Fisher
Play-Areas (Unknown),https://collections.ed.ac.uk/record/21597?highlight=*:*,Wendy McMurdo
Portrait of a Woman (Pre 1949?),https://collections.ed.ac.uk/record/21042?highlight=*:*,John Hunter
Standing Male Nude with staff (1949-1952),https://collections.ed.ac.uk/record/20812?highlight=*:*,Adam Robson
Portrait of a Woman (1958),https://collections.ed.ac.uk/record/20872?highlight=*:*,David Rifat
